IndigNation	indignation
Shadow	SHADOW
SEPS	SEPs
Intertel	Inter-Tel
Sepp	SEPP
Sheridan	SHERIDAN
All-Steel	all-steel
IMpossible	impossible
DUFF	Duff
Moves	MOVES
Selz	SELZ
Sell	SELL
Israeli	ISRAELI
Embalming	EMBALMING
Orion	ORION
German	GERMAN
Ricoh	RICOH
Ipsos	IPSOS
RELOAD	reload
ReLoad	reload
S.E.X.	sex-
COMMON	Common
Problem	PROBLEM
DaySide	dayside
Blue	BLUE
D.U.C.K.	Duck
Where	WHERE
BuzzSaw	buzz-saw
EasyChair	easy-chair
SEUL	seul
Jan	-Jan
Ján	-Jan
Seas	SEAS
Seat	SEAT
Seba	SEBA
Jay	-Jay
Close-up	Close-Up
Visa	VISA
SERE	sere
SERF	serf
SERA	sera
Castrol	CASTROL
Visp	VISP
Testimony	TESTIMONY
Seen	SEEN
Targets	TARGETS
Seek	SEEK
Vita	VITA
Bonds	BONDS
Statement	STATEMENT
Head-On	head-on
HeadOn	head-on
Compromise	COMPROMISE
Sterling	STERLING
COMMON	common
Outside	OUTSIDE
Dodds	DODDS
MAPPA	Mappa
Seal	SEAL
Seán	SEAN
CLaMS	clams
Bonar	BONAR
McLennan	MCLENNAN
OSRIC	Osric
MANWEB	Manweb
First-Born	firstborn
SuperPower	superpower
FairPlay	fair-play
Singapore	-Singapore
BackTrack	Backtrack
C-Lark	clark
Judgment	JUDGMENT
Nieuw-Bergen	Nieuwbergen
CLASS	class
C.L.A.S.H.	clash
Syrupy	SYRUPY
Forfaiting	FORFAITING
MidWeek	mid-week
AKIM	Akim
Libyan	-Libyan
NACE	Nace
Coca-Cola	COCA-COLA
NaCo.	Naco
SIBS	sibs
SICA	sica
Si-Do	sido
Cruise	CRUISE
Ultra-Violet	Ultraviolet
SoftBank	Softbank
Nextstep	NextStep
Na-Ga	Naga
MAC-10	Mac-10
Auctions	AUCTIONS
Boost	BOOST
SIFT	sift
Mencap	MENCAP
NAFI	Nafi
January	JANUARY
Shangrila	Shangri-La
Shangrilá	Shangri-La
ACCURATE	Accurate
Average	AVERAGE
Wednesday	WEDNESDAY
Carmen	CARMEN
Kapıkule	Kapikule
Lamothe	LaMothe
Uranium	URANIUM
MacLennan	Maclennan
BUNCH	Bunch
Caviar	CAVIAR
AIRS	Airs
Curtain	CURTAIN
Luxury	LUXURY
Ambush	AMBUSH
Walter	WALTER
Stereo-Types	stereotypes
MANEA	Manea
M.A.N.D.Y.	Mandy
Event	EVENT
Prov.	prov-
Issyk-kul	Issyk-Kul
NARO	Naro
N.A.S.A	Nasa
NASA	Nasa
Self-healing	Self-Healing
NASH	Nash
Marriage	MARRIAGE
NAPA	Napa
IMAGE	Image
Jacobs	JACOBS
Head-Hunters	headhunters
CHiPs	Chips
SIX	six-
DeLaval	Delaval
SISDE	Sisde
NATO	Nato
NATE	Nate
NATS	Nats
CHILL	Chill
Zora	ZORA
Lay-Away	lay-away
GADGET	gadget
Barbara	BARBARA
Sin-é	sine
Kunze	KUNZE
M.A.N.T.I.S.	Mantis
Either/Or	either/or
CORDIS	Cordis
Sweden	SWEDEN
SPECS	specs
Shangri-La	Shangri-la
Shangrilá	Shangri-la
ZOOm	ZOOM
Zoom	ZOOM
LaTour	Latour
Documentary	DOCUMENTARY
Bob	B.O.B
Technology	TECHNOLOGY
Can-can	Can-Can
IDeaS	IDEAS
Ideas	IDEAS
South-West	southwest
Magnetek	MagneTek
READY	Ready
Birthmarks	BIRTHMARKS
Truckin	TRUCKIN
Flurry	FLURRY
DevIL	devil
MacBride	MACBRIDE
Acquisitions	ACQUISITIONS
Chartered	CHARTERED
Hamlet	HAMLET
Arbitration	ARBITRATION
BANANA	banana
AIME	Aime
AIMS	Aims
Universal	UNIVERSAL
Maxwell	MAXWELL
ADEPT	adept
Obus	OBUs
Re-bE	Rebe
Profit	PROFIT
Hospital	HOSPITAL
Mar-Vell	Marvell
HURT	Hurt
H.U.R.L.	Hurl
Ninety-Nines	Ninety-nines
Autotrain	Auto-Train
S.H.I.T	shit
NOvA	nova
Dumping	DUMPING
AIDS	Aids
FANatical	fanatical
Liberation	LIberation
Libération	LIberation
OutRage	outrage
Wii	W-II
Aktiengesellschaft	Aktien-Gesellschaft
Dollar	DOLLAR
Update	UPDATE
Porsche	PORSCHE
RASHID	Rashid
Lebrón	LeBron
Harbor	HARBOR
Merger	MERGER
MANTA	Manta
Spread	SPREAD
Euro	EURO
IMBER	Imber
Macro	MACRO
Expect	EXPECT
Major	MAJOR
Apo	APO
ApS	APS
Mırtı	Mirti
A-ra	ARA
Arc	ARC
Are	ARE
Åre	ARE
Arm	ARM
Arp	ARP
.shop	SHOP
Shop	SHOP
Show	SHOW
A.s.h	ASH
Ash	ASH
-ase	ASE
Åse	ASE
Asp	ASP
Ask	ASK
Arx	ARX
Art	ART
Asa	ASA
Åsa	ASA
Ati	ATI
Atë	ATE
Áta	ATA
Aug	AUG
Frogmore	FROGMORE
Aub	AUB
Atu	ATU
Defeated	DEFEATED
Ätt	ATT
Ætt	ATT
APAR	Apar
Astro-Logical	astrological
Ave	AVE
Avé	AVE
AmerAsian	Amerasian
Bulgaria	BULGARIA
RATTLE	rattle
Ava	AVA
Sing-Along	Sing-along
Death	DEATH
JUSTICE	justice
Just-Ice	justice
Awá	AWA
Brat	BRAT
Piedmont	PIEDMONT
APAP	Apap
Express	EXPRESS
Axe	AXE
Ship	SHIP
Ape-X	Apex
Homécourt	home-court
Freed	FREED
Lebrun	LeBrun
SubHuman	subhuman
Bristol	BRISTOL
DELOS	Delos
DeLon	Delon
Hoechst	HOECHST
EAT	-Eat
EAT.	-Eat
NON	non-
Which	WHICH
Mırra	Mirra
Bam	BAM
Ban	BAN
Bái	BAI
Bad	BAD
Bay	BAY
Bat	BAT
B.As.	BAS
BAs	BAS
Bas	BAS
AA3	Aa3
Bar	BAR
Bár	BAR
Bär	BAR
AA-2	Aa2
AA-1	Aa1
Radio-Activity	radioactivity
Aar	AAR
S-CAT	scat
-AAA-	AAA
Aam	AAM
Chopping	CHOPPING
CHAOS	chaos
CHAPS	chaps
Expert	EXPERT
Ács	ACS
Taiwan	TAIWAN
Act	ACT
ABS	ABs
Acu	ACU
Açu	ACU
Bros	BROS
Brös	BROS
Ada	ADA
Honduran	HONDURAN
Ace	ACE
Pentagon	PENTAGON
Aco	ACO
Abt	ABT
Dan	-Dan
Dan.	-Dan
GenCorp	Gencorp
Aba	ABA
M.ill.ion	MILLION
Million	MILLION
Abi	ABI
REWE	Rewe
Chloride	CHLORIDE
CHAMP	champ
Birley	BIRLEY
Friday	FRIDAY
Adl	ADL
A-ha	AHA
SIPPS	Sipps
REVA	Reva
Thomson-CSF	THOMSON-CSF
AGm	AGM
AgM	AGM
A-ga	AGA
Aga	AGA
Age	AGE
Agé	AGE
Âge	AGE
Infra-Red	infrared
Freddie	FREDDIE
Sea-Land	Sealand
KangaROOS	Kangaroos
Aft	AFT
SCAN	scan
Ain	AIN
Ail	AIL
While	WHILE
ReVision	revision
Ahl	AHL
Side-Line	sideline
Aid	AID
Ala	ALA
Ali	ALI
Áli	ALI
CHAIN	chain
Ämt	AMT
Amp	AMP
Peculiar	PECULIAR
Ani	ANI
Äng	ANG
And	AND
Alz	ALZ
Valley	VALLEY
Alm	ALM
Ami	AMI
Amé	AME
Ama	AMA
Sham	SHAM
Shas	SHAS
UCAS	Ucas
Zipp	ZIPP
Prehistory	Pre-History
Aon	AON
Klerk	KLERK
Any	ANY
MIRAS	Miras
Ans	ANS
AMS	AMs
Zinc	ZINC
Aoi	AOI
And	ANd
Sing	SING
SIMS	SIMs
.data	data-
DATA	data-
SAPS	saps
Anti-apartheid	Anti-Apartheid
Antiapartheid	Anti-Apartheid
Support	SUPPORT
MAMBA	Mamba
White	WHITE
SANE	sane
Maine	MAINE
SANS	sans
TOTEM	totem
SAME	same
Greene	GREENE
NAZI	Nazi
Ambassador-at-Large	ambassador-at-large
DEMOS	Demos
AMPLE	Ample
Simm	SIMM
Nona	non-A
ASEAN	Asean
IBERIA	Iberia
Greece	GREECE
Paddy	PADDY
BUCK	buck
PERCS	Percs
SAWS	saws
Supermac	SuperMac
Very	VERY
Véry	VERY
SAVE	save
Vert	VERT
Lithuania	LITHUANIA
Odds	ODDS
Rundu	RUNDU
Vers	VERs
Man-Machine	man-machine
L.E.G.I.O.N.	legion
Inland	INLAND
Droß	dross
NOMAD	nomad
Diyarbakır	Diyarbakir
Quantum	QUANTUM
Custom-Fit	custom-fit
CONTOUR	contour
INHERENT	inherent
Skating	SKATING
Dilorenzo	DiLorenzo
Anews	A-News
Odor	ODOR
Fashion	FASHION
LongHaul	long-haul
Petrofina	PETROFINA
Geneva	GENEVA
Animal	ANIMAL
Textron	TEXTRON
Aldeburgh	ALDEBURGH
TOSHI	toshi
Bastards	BASTARDS
Re-Arranged	rearranged
Boris	BORIS
Bugsy	BUGSY
Gratin	GRATIN
Sica	SICA
Samuel	SAMUEL
Preußen	Preussen
WOOD	wood-
RECON	Recon
Re-Con	Recon
Drive-By	drive-by
Sida	SIDA
Side	SIDE
SuperStar	Superstar
MPS	M.P.s
NEAT	Neat
CLONES	clones
Counterreformation	Counter-Reformation
Sub-Basement	sub-basement
NeoClassical	neoclassical
No-One	noone
Belfast	BELFAST
Invesco	INVESCO
Trader	TRADER
Manhattan	MANHATTAN
SEITA	Seita
SpringBoard	Springboard
Meaning	MEANING
Telmex	TelMex
Say	S.A.Y
Oger	OGER
Boyd	BOYD
Chairman	CHAIRMAN
DISOWN	disown
NEDO	Nedo
N.I.N.J.A.S.	ninjas
Dufresne	DuFresne
ODESSA	Odessa
Sàigòn	Saigon-
Jackson	JACKSON
Nabisco	NABISCO
CLEAN	clean
DEPOT	depot
Almost	ALMOST
Filter	FILTER
LiVES	Lives
MOUSE	Mouse
SEA	sea-
UNITA	Unita
Expo	EXPO
Hostage	HOSTAGE
Guernsey	GUERNSEY
Some	-Some
Somé	-Some
N.E.O.N.	Neon
Levine	LeVine
U.N.I.T.Y.	Unity
UNITY	Unity
Nescafé	NESCAFE
ANAP	Anap
NEMO	Nemo
ANAC	Anac
NESS	Ness
NEST	Nest
SEAT	seat
NESI	Nesi
Journey	JOURNEY
NERI	Neri
N.E.R.D	Nerd
Criss-Cross	criss-cross
CrissCross	criss-cross
SEED	seed
Moré	-more
Möre	-more
GNATS	gnats
Size	SIZE
Bosch	BOSCH
IPSOS	Ipsos
N.E.W.S	News
N.E.W.S.	News
NEWS	News
NeWS	News
Actup	ACT-Up
MasterCard	Mastercard
Proposal	PROPOSAL
Actup	ACT-UP
Hygiene	HYGIENE
DiMaggio	Dimaggio
M.O.V.I.E.	Movie
NETS	Nets
UNIFI	Unifi
Plantronics	PLANTRONICS
Mahón	MAHON
Anti-fascist	anti-Fascist
SELL	sell
Arthur	ARTHUR
Underground	UNDERGROUND
N.EX.T	Next
NeXT	Next
ANTS	Ants
Governor-General	governor-general
UNICO	Unico
UNICE	Unice
Bi-Coastal	bi-coastal
BiCoastal	bi-coastal
ANTA	Anta
UNICA	Unica
ANSA	Ansa
Cagnes-sur-Mer	CAGNES-SUR-MER
MiTAC	Mitac
MAMMALS	mammals
UNIDO	Unido
Evidence	EVIDENCE
Conservation	CONSERVATION
Peeve	PEEVE
Pablo	PABLO
RIMM	Rimm
DWAN	Dwan
RIMS	Rims
Ronald	RONALD
ALZA	Alza
Ex-communist	ex-Communist
RINN	Rinn
T.38	T-38
RIOT	Riot
RIPA	Ripa
Macworld	MacWorld
FINANCIAL	financial
EXCITING	Exciting
Leblanc	LeBlanc
Expected	EXPECTED
Riß	Riss
RISK	Risk
Black-Out	black-out
AMAX	Amax
HighLife	Highlife
Light-Hearted	light-hearted
Body	BODY
Everyone	EVERYONE
Switch	SWITCH
PEPCO	Pepco
Research	RESEARCH
AMEX	Amex
AMEC	Amec
Noncatholics	non-Catholics
Rules	RULES
A-Man	Aman
A.M.A.N.	Aman
Gender	GENDER
Gendér	GENDER
Bomb	BOMB
Build	BUILD
Airlink	AirLink
SIMIC	Simic
Book	BOOK
Boom	BOOM
NationsBank	Nationsbank
Bond	BOND
Bonn	BONN
KRYPTON	krypton
Botha	BOTHA
AMIE	Amie
RICA	Rica
AMIT	Amit
SIMPO	Simpo
Up-Hill	up-hill
Immigration	IMMIGRATION
Yesterday	YESTERDAY
S.U.C.C.E.S.S.	success
HUD	-HUD
Intimate	INTIMATE
R.I.D.E.	Ride
Menswear	MENSWEAR
Magna	MAGNA
Bowl	BOWL
BRIO	brio
Organosilicon	OrganoSilicon
AMOS	Amos
FALSE	False
WigWam	Wigwam
H.E.C.T.O.R.	Hector
HECToR	Hector
Vis	VI-S
MENTOR	Mentor
Ukraine	UKRAINE
Frank	FRANK
Michael	MICHAEL
FRELIMO	Frelimo
AMPS	Amps
Born	BORN
Bork	BORK
Belle	BELLE
Ged	GED
A.N.S.W.E.R.	answer
Entrepreneur	ENTREPRENEUR
Get	GET
.geo	GEO
Geo	GEO
Gen	GEN
Frederick	FREDERICK
GfK	GFK
Gfk	GFK
FEB	Feb
FED	Fed
FEI	Fei
FEL	Fel
FER	Fer
STOCK	stock-
FES	Fes
Delisle	DeLisle
ESTA	esta
G.hn	GHN
Riff-Raff	riffraff
Gha	GHA
Gia	GIA
Happiness	HAPPINESS
Party	PARTY
Gic	GIC
Gib	GIB
GHZ	GHz
Energy	ENERGY
GIs	GIS
Gis	GIS
Git	GIT
Webster	WEBSTER
Caution	CAUTION
Gis	GIs
FIN	Fin
F.I.R.	Fir
FIR	Fir
F.I.D.	Fid
FID	Fid
FIG	Fig
EZE	Eze
DAMPs	damps
FroSTed	frosted
JURIST	Jurist
WHIPS	whips
.S.P.A.C.E.	space
SPACE	space
Henley	HENLEY
Slump	SLUMP
Belem	BELEM
Belém	BELEM
SLUDGE	sludge
Livestock	LIVESTOCK
Hints	HINTS
Gar	GAR
Gas	GAS
Gap	GAP
Gäp	GAP
Gan	GAN
Gao	GAO
Gaf	GAF
Gac	GAC
...You	-you
Y-O-U	-you
YOU	-you
GbE	GBE
Geva	GEVA
Firestone	FIRESTONE
FAY	Fay
FAW	Faw
Dahlberg	DAHLBERG
FAQ	Faq
Drive-in	Drive-In
Drivein	Drive-In
FAE	Fae
FAI	Fai
FAH	Fah
E.R.A	Era
ERA	Era
ERE	Ere
EPP	Epp
Fry	FRY
Fus	FUS
FTS	FTs
EST	Est
ETC	Etc
ETA	Eta
Lacroix	LaCroix
ETI	Eti
ERO	Ero
ERP	Erp
RENGO	Rengo
ERV	Erv
Fud	FUD
SPARS	spars
NO2	No.2
EVA	Eva
ReNew	Renew
BanxQuote	Banxquote
ETO	Eto
ETS	Ets
ÉTS	Ets
Pardo	PARDO
FXS	FXs
Drive-By	Drive-by
Text	TEXT
Gene	GEne
Gené	GEne
.paris	PARIS
Paris	PARIS
Pâris	PARIS
Flå	FLA
Apples	APPLES
EIN	Ein
Opportunity	OPPORTUNITY
D.A.N.C.E.	dance
E.L.A.	Ela
ELA	Ela
Father	FATHER
EKE	Eke
.test	TEST
Test	TEST
BROTHER	brother
Term	TERM
E.N.G.	Eng
ENG	Eng
E.M.S.	Ems
EMS	Ems
CONTRAST	contrast
ACCORD	Accord-
For	FOR
Fox	FOX
Fok	FOK
SURF	surf
EMM	Emm
Fon	FON
SubHuman	sub-human
BERNET	Bernet
ELS	Els
Kaiser	KAISER
ELM	Elm
EPH	Eph
MARAUDER	marauder
Frà	FRA
Games	GAMES
Jumbo	JUMBO
ENT	Ent
TARGET	target
Fpö	FPO
Re-Construction	reconstruction
E.N.I.	Eni
ENI	Eni
Clarkson	CLARKSON
Gear	GEAR
Hip	HIP
Hib	HIB
Hie	HIE
Cry-Baby	crybaby
Civil	-Civil
Hit	HIT
His	HIS
PATCO	Patco
Gleeson	GLEESON
RORSAT	Rorsat
GEL	Gel
GEM	Gem
GEV	Gev
GER	Ger
RETAIN	Retain
Pasta	PASTA
Visitor	VISITOR
HKS	HKs
T.O.N.Y.	Tony-
Auto	AUTO
Quayle	QUAYLE
GIA	Gia
GIO	Gio
SCAN	Scan
Tech	TECH
Has	HAS
SCAW	Scaw
S-CAT	Scat
Had	HAD
ClanDestine	Clandestine
Husband	HUSBAND
PurVIEW	purview
GOPHER	gopher
WAVES	Waves
Teds	TEDs
Gillette	GILLETTE
SUDS	suds
GAZ	Gaz
Hem	HEM
Hen	HEN
Her	HER
Hew	HEW
Hex	HEX
Hed	HED
Education	EDUCATION
Guatemala	GUATEMALA
CHESS	Chess
Hay	HAY
Team	TEAM
GBR	GbR
GemStone	gemstone
GAL	Gal
Indochina	IndoChina
G-A-Y	Gay
GAT	Gat
G.A.A.	Gaa
Oshkosh	OshKosh
Mobile	MOBILE
GAI	Gai
G.A.D.	Gad
GAB	Gab
Guy	GUY
Omnibook	OmniBook
Burden	BURDEN
Gui	GUI
Repeat	REPEAT
Gum	GUM
Gets	GETS
Tip-Toes	TIPTOES
Tiptoes	TIPTOES
Conoco	CONOCO
Physicians	PHYSICIANS
Foe	FoE
.gov	GOV
Gov	GOV
Assabah	As-Sabah
Gob	GOB
F.L.Y.	Fly
GMS	GMs
Raise	RAISE
FLO	Flo
Geis	GEIS
FLA	Fla
Gnc	GNC
Gmt	GMT
CRISP	crisp
STUN	stun
Kara-Kul	Karakul
FRA	Fra
Nichols	NICHOLS
Parachutes	PARACHUTES
Series	SERIES
SISAL	sisal
Tüßling	tussling
FOR	For
Open	OPEN
Open....	OPEN
Opel	OPEL
FOA	Foa
FOB	Fob
Devine	DeVine
RAJAR	Rajar
Astro-Logical	Astrological
GOS	GOs
.IMA	IMA
Ilo	ILO
OnyX	onyx
HLA	Hla
Inc.	INC
In-D	IND
Ind	IND
Douglas	DOUGLAS
Imi	IMI
Ad-Libs	ad-libs
NorthSide	north-side
-ing	ING
I.n.g	ING
Ing	ING
Inf	INF
SCHUNK	Schunk
STIL	stil
HMM	Hmm
Lexington	LEXINGTON
Deville	DeVille
IIf	IIF
Baker	BAKER
IIS	IIs
IIB	IIb
IIC	IIc
IIE	IIe
Iji	IJI
H.I.S.	His
HIS	His
Ila	ILA
HIL	Hil
HIM	Him
Porter	PORTER
Idi	IDI
Idd	IDD
Ida	IDA
Idu	IDU
Ido	IDO
PowerBuilder	Powerbuilder
IDS	IDs
Ife	IFE
Ifé	IFE
.ifb	IFB
Ifá	IFA
IgH	IGH
LaLa	la-la
H.E.I.	Hei
HEI	Hei
S.T.A.R.	star
STAR	star
LinkUp	linkup
STAT	stat
HEO	Heo
STAG	stag
Childcare	CHILD-CARE
Infocorp	InfoCorp
Anchor	ANCHOR
TestNG	testng
Eyedentify	EyeDentify
RAISE	Raise
IAg	IAG
Ian	IAN
Ibb	IBB
Ibi	IBI
Avis	AVIS
Aviv	AVIV
HAC	Hac
Ice	ICE
ICc	ICC
Icc	ICC
HAG	Hag
Ich	ICH
HAL	Hal
Fringe	FRINGE
HAJ	Haj
HAI	Hai
Institute	INSTITUTE
Ico	ICO
HAS	Has
IBS	IBs
.ics	ICS
SATS	Sats
S.A.T.O.	Sato
Salary	SALARY
Omia	OMIA
Gian-Carlo	Giancarlo
GYM	Gym
Laments	LAMENTS
Worthington	WORTHINGTON
SARK	Sark
SARH	Sarh
Leviathan	LEVIATHAN
Sa-Ra	Sara
Conner	CONNER
GUS	Gus
GUA	Gua
SPARCstation	Sparcstation
Zenith	ZENITH
Givenchy	GIVENCHY
CounterPunch	Counterpunch
PLANS	Plans
Hya	HYA
OOPS	oops
SAVE	Save
HRS	HRs
SAKO	Sako
WASTE	Waste
Hrp	HRP
L.E.G.A.C.Y.	legacy
Hut	HUT
Hum	HUM
Paton	PATON
Trave-Land	Traveland
GRP	Grp
GRO	Gro
Huk	HUK
Clinton	CLINTON
Albaida	al-Baida
Hog	HOG
Self-Inflicted	self-inflicted
Hon	HON
Hok	HOK
Hop	HOP
Hóp	HOP
Snow-White	snow-white
Hot	HOT
Inventory	INVENTORY
How	HOW
Bi-Coastal	Bicoastal
BiCoastal	Bicoastal
GLO	Glo
NONO	No-No
Nono	No-No
Drought	DROUGHT
SANS	Sans
GOH	Goh
GOW	Gow
GOT	Got
GOR	Gor
HPS	HPs
SANA	Sana
SANE	Sane
SAMT	Samt
Reality	REALITY
SAMA	Sama
SAME	Same
SAMI	Sami
G.O.D.	God
GOC	Goc
INV	Inv
ING	Ing
INE	Ine
INN	Inn
Théus	theUS
SABA	Saba
I.O.N	Ion
GiFT	gift
F.E.A.R.	Fear
Job	JOB
SACE	Sace
Power	POWER
ILE	Ile
SACO	Saco
ILO	Ilo
BATTeRS	batters
INA	Ina
INC	Inc
IOD	IoD
IND	Ind
In-D	Ind
Jo-e	JOE
Joe	JOE
IMO	Imo
SAFE	Safe
FEED	Feed
SAFA	Safa
OPAL	opal
Tomato	TOMATO
IKE	Ike
SAGA	Saga
SaGa	Saga
IHR	Ihr
IIP	IiP
MOSAIC	Mosaic
IIT	Iit
Omni	OMNI
IFE	Ife
IFO	Ifo
W.A.T.C.H	Watch
KNOB	knob
IGA	Iga
Jib	JIB
DeFence	Defence
Jif	JIF
Jim	JIM
Bargain	BARGAIN
Jit	JIT
Lemay	LeMay
IDE	Ide
Motorola	MOTOROLA
IEN	Ien
IBA	Iba
IBE	Ibe
Lynchburg	LYNCHBURG
IBN	Ibn
Life-Size	life-size
LifeSize	life-size
ICE	Ice
Jec	JEC
S.U.C.C.E.S.S.	Success
ICA	Ica
Jet	JET
ICY	Icy
Jel	JEL
ICO	Ico
FlatOut	flat-out
MINERVA	Minerva
MINERvA	Minerva
KNOT	knot
Antisemitism	Anti-Semitism
IAQ	Iaq
TCAs	TCAS
Jan	JAN
Ján	JAN
KNEW	knew
Jar	JAR
Jae	JAE
Machine	MACHINE
Yellow	YELLOW
Going	GOING
Tor	Tor.-
MATRIX	matrix
Pist.On	piston
Only	ONLY
ACMAT	Acmat
KNIT	knit
Axel	AXEL
Ossewabrandwag	Ossewa-Brandwag
Longevity	LONGEVITY
Discrimination	DISCRIMINATION
R.e.m.IX	re-mix
Carpenters	CARPENTERS
Izé	IZE
FreeLife	Freelife
BUNCH	bunch
HWI	Hwi
H.W.A.	Hwa
HWA	Hwa
LifeLines	Lifelines
IVS	IVs
HUY	Huy
FIRST	First
HUU	Huu
Anglia	ANGLIA
Protection	PROTECTION
HuH	Huh
Larusso	LaRusso
Reducing	REDUCING
HSU	Hsu
Ive	IVE
SPEAR	spear
Ito	ITO
SPEAK	speak
HRS	Hrs
CrossCountry	CROSS-COUNTRY
HSI	Hsi
Ist	IST
Roman	ROMAN
GiST	gist
-ism	ISM
Ita	ITA
Itá	ITA
European	EUROPEAN
Hezbollah	HEZBOLLAH
Isi	ISI
İsi	ISI
Mini-Series	MINISERIES
Mini-series	MINISERIES
Miniseries	MINISERIES
Paulo	PAULO
Once	ONCE
Houseman	HOUSEMAN
Is-a	ISA
Isa.	ISA
IPS	IPs
H.O.T.	Hot
HÖH	Hoh
HOM	Hom
Reserve	REserve
GIRL	girl
Ira	IRA
M/A-COM	M/A-Com
After	AFTER
REAPER	reaper
HOW...	How
IOS	IOs
HOA	Hoa
HoD	Hod
Day	D-A-Y
Ones	ONES
ARG	Arg
ARE	Are
BSC	BSc
ARC	Arc
ARD	Ard
ARA	Ara
ARO	Aro
Chaumet	CHAUMET
ARK	Ark
ARI	Ari
.bss	BSS
Krauß	Krauss
GLib	glib
Indochina	Indo-China
APR	Apr
KOTO	koto
Bvi	BVI
AST	Ast
BTS	BTs
But-	BUT
Buy	BUY
Cincinnati	CINCINNATI
ATA	Ata
PETRA	Petra
ASK	Ask
Bun	BUN
ART	Art
ASA	Asa
APCS	APCs
AVG	Avg
AVE	Ave
FedEx	Fedex
AVA	Ava
AUS	Aus
AUR	Aur
StarCraft	Starcraft
Bwa	BWA
Lemay	LeMAY
Honorary	HONORARY
Badly	BADLY
BUT	BUt
But-	BUt
AXA	Axa
Apac	APAC
AWI	Awi
AWE	Awe
GLOP	glop
G.L.O.W.	glow
Spectacle	SPECTACLE
PROGRES	Progres
Sub-Inspector	sub-inspector
A-YA	Aya
AYA	Aya
AYR	Ayr
Ape-X	APEX
Apex	APEX
Duarte	DUARTE
Véry	-very
Flo-Rida	FLORIDA
Florida	FLORIDA
Royalty	ROYALTY
Gaza	GAZA
Re-Flex	reflex
ReFLEX	reflex
Railroads	RAILROADS
Cal	CAL
Çal	CAL
Cab	CAB
Pearson	PEARSON
C.a.R.	CAR
CaR	CAR
.cat	CAT
Cat	CAT
Çat	CAT
Cao	CAO
Can	CAN
Çan	CAN
Cap	CAP
Norman	NORMAN
Divonne-les-Bains	DIVONNE-LES-BAINS
BAI	Bai
BAL	Bal
BAN	Ban
Cca	CCA
BAA	Baa
BAB	Bab
B.A.C	Bac
B.A.C.	Bac
BAC	Bac
B.A.D	Bad
BAW	Baw
Apis	APIs
Bi-Polar	bipolar
BAO	Bao
B.A.T.	Bat
B.As.	Bas
BAS	Bas
BAs	Bas
CBS	CBs
BAU	Bau
AAHS	aahs
Rock-a-Billy	rockabilly
C-Bo	CBO
Ernest	ERNEST
High-definition	High-Definition
Tamp	TAMP
Bae	BAe
Broadcasting	BROADCASTING
Broadcasting...	BROADCASTING
EXodus	Exodus
BBS	BBs
Up-Front	up-front
-AAA-	Aaa
AAA	Aaa
.bcn	BCN
ABM	AbM
ABU	Abu
Take	TAKE
Kuna	KUNA
ABT	Abt
CLEAN	Clean
Bea	BEA
ACA	Aca
ABY	Aby
ABE	Abe
ABA	Aba
ABD	Abd
SoftServe	soft-serve
ABI	Abi
A.C.T	Act
ACT	Act
Tale	TALE
Bes	BES
Bet	BET
Talk	TALK
ACH	Ach
Bec	BEC
Ben	BEN
B.e.m.	BEM
APRS	APRs
Festival	FESTIVAL
ADS	Ads
ADV	Adv
ADY	Ady
A.D.M.	Adm
ADM	Adm
A-D-N	Adn
ADN	Adn
Apse	APSE
ADD	Add
ADE	Ade
Super-Cycle	Supercycle
AEX	Aex
A.E.R.	Aer
AER	Aer
Bgh	BGH
A.G.E.	Age
Claim	CLAIM
AFT	Aft
Bhp	BHP
AFI	Afi
ADULT.	adult
.biz	BIZ
Mentor	MENTOR
AGT	Agt
GABRE	Gabre
AGO	Ago
BiM	BIM
Bim	BIM
Big	BIG
GLUT	glut
Star-K	stark
AID	Aid
AIM	Aim
AIT	Ait
Ralph	RALPH
STARS	stars
SMALL	small-
.BLP	BLP
TEMPEST	tempest
Ta-ta	TATA
Tata	TATA
AJR	Ajr
Tate	TATE
Task	TASK
SUNDAY	SUnday
Sunday	SUnday
Tasm	TASM
Apus	APUs
ALI	Ali
ALF	Alf
ALS	Als
BnL	BNL
ALL	All
Boh	BOH
Juice	JUICE
Boi	BOI
Clash	CLASH
AMB	Amb
Bob	BOB
Boy	BOY
AMO	Amo
AMR	Amr
Bos	BOS
AMS	Ams
Bot	BOT
Bót	BOT
ANH	Anh
ANG	Ang
ANA	Ana
Rally	RALLY
TANS	TANs
Tans	TANs
KOHL	kohl
ANN	Ann
AOI	Aoi
ÆON	Aon
C-Lark	CLARK
Clark	CLARK
Kurt	KURT
Bre	BRE
Brè	BRE
Bra	BRA
SLR	s.l.r
Roger	ROGER
BUT	But
CVS	CVs
BUR	Bur
BUI	Bui
L.E.G.A.C.Y.	Legacy
Boeing	BOEING
Aircraft	AIRCRAFT
Cvi	CVI
Molins	MOLINS
Cut	CUT
Cup	CUP
NiNa	Nina
BSH	Bsh
Cub	CUB
Cuá	CUA
Cúa	CUA
BRY	Bry
Chicago	CHICAGO
CHAIN	Chain
ABCD	abcd
STAMP	stamp
Pro-life	Pro-Life
Daf	DAF
Postscript	PostScript
Bull-Fighting	bullfighting
.daa	DAA
Daa	DAA
CHAMP	Champ
Daw	DAW
